token	lemma	POS	morph	treated
trois	trois	DETcar	NOMB.=p|GENRE=m|CAS=r	trois
jors	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jors
dura	durer	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	dura
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
orés	oré2	NOMcom	NOMB.=s|GENRE=m|CAS=n	orés
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
grans	grant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	grans
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
desmesurés	desmesurer	VERppe	NOMB.=p|GENRE=m|CAS=n	desmesurés
C'	que4	CONsub	MORPH=empty	C
onques	onque	ADVgen	DEGRE=-	onques
ne	ne1	ADVneg	MORPH=empty	ne
sorent	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	sorent
u	où	PROrel	NOMB.=p|GENRE=n	u
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n	il
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	furent
Ne	ne2	CONcoo	MORPH=empty	Ne
ne	ne1	ADVneg	MORPH=empty	ne
mangierent	mangier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	mangierent
ne	ne2	CONcoo	MORPH=empty	ne
ne	ne1	ADVneg	MORPH=empty	ne
burent	boivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	burent
.	.	PONfrt	MORPH=empty	.
Au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	Au
quart	cart	PROord	NOMB.=s|GENRE=m|CAS=r	quart
,	,	PONfbl	MORPH=empty	,
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
aube	aube3	NOMcom	NOMB.=s|GENRE=f|CAS=r	aube
aparissant	aparoir	VERppa	NOMB.=s|GENRE=f|CAS=r	aparissant
,	,	PONfbl	MORPH=empty	,
Ala	aler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	Ala
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
jors	jor	NOMcom	NOMB.=s|GENRE=m|CAS=n	jors
aclarissant	aclarir	VERppa	NOMB.=s|GENRE=m|CAS=n	aclarissant
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mers	mer	NOMcom	NOMB.=s|GENRE=m|CAS=n	mers
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
coie	coi1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	coie
et	et	CONcoo	MORPH=empty	et
rassise	rasser	VERppe	NOMB.=s|GENRE=f|CAS=n	rassise
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
vent	vent	NOMcom	NOMB.=s|GENRE=m|CAS=n	vent
orent	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	orent
trive	trieue	NOMcom	NOMB.=s|GENRE=f|CAS=r	trive
prise	prendre	VERppe	NOMB.=s|GENRE=f|CAS=r	prise
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
uns	un	DETndf	NOMB.=s|GENRE=m|CAS=n	uns
ventelés	venteler	NOMcom	NOMB.=s|GENRE=m|CAS=n	ventelés
moult	mout	ADVgen	DEGRE=-	moult
soués	söef	ADVgen	GENRE=m|CAS=r|DEGRE=-	soués
Venta	venter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	Venta
tous	tot	ADVgen	NOMB.=s|GENRE=m|CAS=n	tous
seus	sol1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	seus
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
remés	remanoir	VERppe	NOMB.=s|GENRE=m|CAS=n	remés
Por	por2	PRE	MORPH=empty	Por
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
air	air1	NOMcom	NOMB.=s|GENRE=m|CAS=r	air
monder	monder2	VERinf	NOMB.=s	monder
et	et	CONcoo	MORPH=empty	et
balliier	baillier	VERinf	CAS=n	balliier
.	.	PONfrt	MORPH=empty	.
Or	or4	ADVgen	DEGRE=-	Or
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
Terfés	Terfaire	NOMcom	NOMB.=p|GENRE=m|CAS=n	Terfés
ravoier	ravoir2	VERinf	MORPH=empty	ravoier
,	,	PONfbl	MORPH=empty	,
S'	se	CONsub	MORPH=empty	S
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	set
connoistre	conoistre	VERinf	MORPH=empty	connoistre
en	en1	PRE	MORPH=empty	en
quel	quel1	DETrel	NOMB.=s|GENRE=f|CAS=r	quel
contree	contree	NOMcom	NOMB.=s|GENRE=f|CAS=r	contree
Aventure	aventure	NOMcom	NOMB.=s|GENRE=f|CAS=r	Aventure
a	avoir	VERcjg	MORPH=empty	a
lor	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	lor
nef	nef2	NOMcom	NOMB.=s|GENRE=f|CAS=r	nef
menee	mener	VERppe	NOMB.=s|GENRE=f|CAS=r	menee
;	;	PONfbl	MORPH=empty	;
Que	que4	CONsub	MORPH=empty	Que
pres	près	ADVgen	DEGRE=-	pres
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sont
d'	de	PRE	MORPH=empty	d
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
estrange	estrange	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	estrange
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
pele	peler2	ADJqua	NOMB.=s|GENRE=f|CAS=r	pele
,	,	PONfbl	MORPH=empty	,
sel	si+il	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sel
losange	losengier2	NOMcom	TEMPS=pst|NOMB.=s|GENRE=m|CAS=r	losange
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Maistres	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n	Maistres
,	,	PONfbl	MORPH=empty	,
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
,	,	PONfbl	MORPH=empty	,
u	où	PROrel	MORPH=empty	u
somes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	somes
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n	nos
?	?	PONfrt	MORPH=empty	?
Ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r	Ceste
vile	vile	NOMcom	NOMB.=s|GENRE=f|CAS=r	vile
connissies	conoistre	VERcjg	MODE=ind|NOMB.=p	connissies
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
?	?	PONfrt	MORPH=empty	?
–	–	PONfbl	MORPH=empty	–
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
,	,	PONfbl	MORPH=empty	,
moult	mout	ADVgen	DEGRE=-	moult
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
connois	conoistre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	connois
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
bien	bien1	ADVgen	DEGRE=p	bien
,	,	PONfbl	MORPH=empty	,
Ne	ne1	ADVneg	MORPH=empty	Ne
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
en	en2	PROadv	MORPH=empty	en
mentirai	mentir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	mentirai
de	de	PRE	MORPH=empty	de
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r	rien
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
se	se	CONsub	MORPH=empty	se
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
port	porter	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	port
i	i2	PROadv	MORPH=empty	i
volés	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	volés
prendre	prendre	VERinf	MORPH=empty	prendre
,	,	PONfbl	MORPH=empty	,
On	on	PROind	NOMB.=s|GENRE=n|CAS=n	On
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	le
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
vaura	valoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	vaura
moult	mout	ADVgen	DEGRE=-	moult
cier	chier	VERinf	NOMB.=s|DEGRE=p	cier
vendre	vendre	VERinf	MORPH=empty	vendre
.	.	PONfrt	MORPH=empty	.
Moult	mout	ADVgen	DEGRE=-	Moult
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
estevra	estevenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	estevra
acater	achater	VERinf	MORPH=empty	acater
cier	chier	ADJqua	CAS=n|DEGRE=-	cier
;	;	PONfbl	MORPH=empty	;
Que	que4	CONsub	MORPH=empty	Que
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
nef	nef2	NOMcom	NOMB.=s|GENRE=m|CAS=r	nef
vauront	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p	vauront
revercier	reverchier	VERinf	MORPH=empty	revercier
Premiers	premier	ADJord	NOMB.=s|GENRE=m|CAS=n	Premiers
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sire
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
puis	puis	ADVgen	DEGRE=-	puis
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
:	:	PONfbl	MORPH=empty	:
Ja	ja	ADVgen	DEGRE=-	Ja
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
ara	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	ara
si	si	ADVgen	DEGRE=-	si
ciere	cire	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	ciere
jame	geme	NOMcom	NOMB.=s|GENRE=f|CAS=r	jame
Ne	ne2	CONcoo	MORPH=empty	Ne
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r	nul
si	si	ADVgen	DEGRE=-	si
precïeus	precïos	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	precïeus
avoir	avoir	NOMcom	MORPH=empty	avoir
Que	que4	CONsub	MORPH=empty	Que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
sires	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sires
ne	ne1	ADVneg	MORPH=empty	ne
puist	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	puist
avoir	avoir	VERinf	MORPH=empty	avoir
,	,	PONfbl	MORPH=empty	,
Se	se	CONsub	MORPH=empty	Se
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
plaist	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	plaist
et	et	CONcoo	MORPH=empty	et
abelist	abel1ir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	abelist
.	.	PONfrt	MORPH=empty	.
Aprés	après	PRE	MORPH=empty	Aprés
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	çou
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
reslist	resler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	reslist
,	,	PONfbl	MORPH=empty	,
S'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m	S
en	en2	PROadv	MORPH=empty	en
reprendra	reprendre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	reprendra
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
qu'	que2	PROrel	NOMB.=s|GENRE=n|CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
siet	sëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	siet
;	;	PONfbl	MORPH=empty	;
Cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=i	Cui
qu'	que4	PROrel	CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
enuit	enoiier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	enuit
ne	ne2	CONcoo	MORPH=empty	ne
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=r	cui
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
griet	grever	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	griet
,	,	PONfbl	MORPH=empty	,
Reprent	reprendre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Reprent
aprés	après	ADVgen	DEGRE=-	aprés
li	le	DETdef	NOMB.=s|GENRE=m|CAS=r	li
seneschaus	seneschal	NOMcom	NOMB.=s|GENRE=m|CAS=r	seneschaus
.	.	PONfrt	MORPH=empty	.
Cist	cest	DETdem	NOMB.=s|GENRE=m|CAS=n	Cist
peages	pegate2	NOMcom	NOMB.=s|GENRE=m|CAS=n	peages
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
assez	assez	ADVgen	DEGRE=-	assez
maus	mal1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	maus
;	;	PONfbl	MORPH=empty	;
Mes	mais1	CONcoo	NOMB.=s	Mes
puis	puis	ADVgen	DEGRE=-	puis
,	,	PONfbl	MORPH=empty	,
des	des2	PRE	MORPH=empty	des
illuec	iluec	ADVgen	DEGRE=-	illuec
en	en1	PRE	MORPH=empty	en
avant	avant	ADVgen	DEGRE=p	avant
,	,	PONfbl	MORPH=empty	,
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
marceanz	marchëant	NOMcom	NOMB.=s|GENRE=m|CAS=n	marceanz
a	a3	PRE	PERS.=3|NOMB.=s	a
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
qu'	que2	PROrel	NOMB.=s|GENRE=n|CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	veut
Au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	Au
plus	plus	ADVgen	DEGRE=c	plus
chierement	chierement	ADVgen	DEGRE=p	chierement
que	que1	PROrel	MORPH=empty	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
,	,	PONfbl	MORPH=empty	,
Ne	ne2	CONcoo	MORPH=empty	Ne
ja	ja	ADVgen	DEGRE=-	ja
doter	doter2	VERinf	MORPH=empty	doter
ne	ne1	ADVneg	MORPH=empty	ne
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
estuet	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	estuet
Que	que4	CONsub	MORPH=empty	Que
nus	nul	PROind	NOMB.=s|GENRE=m|CAS=n	nus
vaillant	valoir	VERppa	NOMB.=s|GENRE=m|CAS=n	vaillant
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
pois	pois2	NOMcom	NOMB.=s|GENRE=m|CAS=r	pois
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
toille	tolir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	toille
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
sires	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sires
tout	tot	ADVgen	NOMB.=s|DEGRE=-	tout
ne	ne1	ADVneg	MORPH=empty	ne
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
soille	soillier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soille
.	.	PONfrt	MORPH=empty	.
«	«	PONfbl	MORPH=empty	«
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dist
que	que4	CONsub	MORPH=empty	que
port	port2	NOMcom	NOMB.=s|CAS=r	port
prendront	prendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p	prendront
;	;	PONfbl	MORPH=empty	;
Ja	ja	ADVgen	DEGRE=-	Ja
por	por2	PRE	MORPH=empty	por
avoir	avoir	VERinf	NOMB.=s|CAS=r	avoir
ne	ne1	ADVneg	MORPH=empty	ne
remanront	remanoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p	remanront
Que	que4	CONsub	MORPH=empty	Que
maintenant	maintenant	ADVgen	DEGRE=-	maintenant
a	a3	PRE	MORPH=empty	a
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
n'	ne1	ADVneg	MORPH=empty	n
aille	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	aille
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
maroniers	marinier	NOMcom	NOMB.=s|GENRE=m|CAS=n	maroniers
moult	mout	ADVgen	DEGRE=-	moult
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
travaille	travaillier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	travaille
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
nef	nef2	NOMcom	NOMB.=s|GENRE=m|CAS=r	nef
tote	tot	ADVgen	NOMB.=s|GENRE=f	tote
entire	entier	ADJqua	NOMB.=s|GENRE=f	entire
et	et	CONcoo	MORPH=empty	et
saine	sain	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	saine
Ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	Ont
traite	traire	VERppe	NOMB.=s|GENRE=f|CAS=r	traite
a	a3	PRE	PERS.=3	a
port	port2	NOMcom	NOMB.=s|GENRE=m|CAS=r	port
a	a3	PRE	MORPH=empty	a
quelque	quelque	DETind	NOMB.=s|GENRE=f|CAS=r	quelque
paine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r	paine
,	,	PONfbl	MORPH=empty	,
Devant	devant	PRE	MORPH=empty	Devant
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
castel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r	castel
tornoiant	tornoiier	VERppa	NOMB.=s|GENRE=m	tornoiant
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	çou
n'	ne1	ADVneg	MORPH=empty	n
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	ert
mie	mie	ADVneg	MORPH=empty	mie
por	por2	PRE	MORPH=empty	por
nïent	nïent	PROind	NOMB.=s|GENRE=n|CAS=r	nïent
.	.	PONfrt	MORPH=empty	.
Quant	cant1	CONsub	MORPH=empty	Quant
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n	cil
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
castel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r	castel
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
nef	nef2	NOMcom	NOMB.=s|GENRE=f	nef
voient	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	voient
,	,	PONfbl	MORPH=empty	,
Un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	Un
serjant	serjant	NOMcom	NOMB.=s|GENRE=m|CAS=r	serjant
por	por2	PRE	MORPH=empty	por
enquerre	enquerre	VERinf	MORPH=empty	enquerre
envoient	envoiier	VERcjg	MODE=ind|PERS.=3|NOMB.=p	envoient
Se	se	CONsub	MORPH=empty	Se
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	çou
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
nes	nëis	ADVneg.PROper	GENRE=m	nes
marceande	marchëant	NOMcom	NOMB.=s|GENRE=f|CAS=n	marceande
.	.	PONfrt	MORPH=empty	.
Cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	Cil
i	i2	PROadv	MORPH=empty	i
va	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	va
tost	tost1	ADVgen	DEGRE=-	tost
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
demande	demander	VERcjg	MODE=imp|TEMPS=pst|PERS.=3|NOMB.=s	demande
Quel	quel1	DETrel	NOMB.=s|GENRE=f|CAS=r	Quel
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r	gent
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
quel	quel1	DETrel	NOMB.=s|GENRE=f|CAS=r	quel
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sont
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
meïsmes	mëisme	ADJind	NOMB.=s|GENRE=m|CAS=n	meïsmes
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	respont
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Marceant	Marcanien	NOMpro	NOMB.=p|GENRE=m|CAS=n	Marceant
somes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	somes
de	de	PRE	MORPH=empty	de
Galvaide	Galveide	NOMpro	NOMB.=s|GENRE=f|CAS=r	Galvaide
.	.	PONfrt	MORPH=empty	.
»	»	PONfbl	MORPH=empty	»
Cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	Cil
de	de	PRE	MORPH=empty	de
riens	rien	PROind	NOMB.=s|GENRE=f|CAS=r	riens
plus	plus	ADVgen	DEGRE=-	plus
ne	ne1	ADVneg	MORPH=empty	ne
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r	les
aplaide	aplaidier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|CAS=n	aplaide
,	,	PONfbl	MORPH=empty	,
Ains	ainz	ADVgen	DEGRE=-	Ains
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
castel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r	castel
retornés	retorner	VERppe	NOMB.=s|GENRE=m|CAS=n	retornés
Et	et	CONcoo	MORPH=empty	Et
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dist
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Or	or4	ADVgen	DEGRE=-	Or
tost	tost1	ADVgen	DEGRE=p	tost
!	!	PONfrt	MORPH=empty	!
ne	ne2	CONcoo	MORPH=empty	ne
sejornés	sejorner	VERppe	MODE=imp|PERS.=2|NOMB.=p	sejornés
,	,	PONfbl	MORPH=empty	,
C'	100	CONsub	MORPH=empty	C
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
port	port2	NOMcom	NOMB.=s|GENRE=m|CAS=r	port
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sont
marceant	Marcant	NOMcom	NOMB.=p|GENRE=m|CAS=n	marceant
venu	venir	VERppe	NOMB.=p|GENRE=m|CAS=n	venu
.	.	PONfrt	MORPH=empty	.
»	»	PONfbl	MORPH=empty	»
N'	ne1	ADVneg	MORPH=empty	N
i	i2	PROadv	MORPH=empty	i
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
mie	mie	ADVneg	MORPH=empty	mie
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
plait	plait	NOMcom	NOMB.=s|GENRE=m|CAS=r	plait
tenu	tenir1	VERppe	NOMB.=s|GENRE=m|CAS=r	tenu
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
,	,	PONfbl	MORPH=empty	,
lués	luès	ADVgen	NOMB.=p|GENRE=m|CAS=n	lués
,	,	PONfbl	MORPH=empty	,
por	por2	PRE	MORPH=empty	por
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
costume	costume	NOMcom	NOMB.=s|GENRE=f|CAS=r	costume
querre	querre	VERinf	MORPH=empty	querre
,	,	PONfbl	MORPH=empty	,
Monte	monter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Monte
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r	dame
de	de	PRE	MORPH=empty	de
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
;	;	PONfbl	MORPH=empty	;
Car	car	CONcoo	MORPH=empty	Car
de	de	PRE	MORPH=empty	de
signor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r	signor
n'	ne1	ADVneg	MORPH=empty	n
