token	lemma	POS	morph	treated
A	a3	PRE	MORPH=empty	A
icest	icest	DETdem	NOMB.=s|GENRE=m|CAS=r	icest
mot	mot	NOMcom	NOMB.=s|GENRE=m|CAS=r	mot
Grinomalanz	Guiromelant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Grinomalanz
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
trestorne	trestorner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	trestorne
come	come1	CONsub	MORPH=empty	come
dolanz	dolent	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	dolanz
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
an	en2	PROadv	MORPH=empty	an
comance	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	comance
a	a3	PRE	MORPH=empty	a
aler	aler	VERinf	MORPH=empty	aler
.	.	PONfrt	MORPH=empty	.
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
prant	prendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	prant
a	a3	PRE	MORPH=empty	a
apeler	apeler	VERinf	MORPH=empty	apeler
:	:	PONfbl	MORPH=empty	:
"	"	PONfbl	MORPH=empty	"
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
,	,	PONfbl	MORPH=empty	,
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sire
,	,	PONfbl	MORPH=empty	,
parlez	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	parlez
a	a3	PRE	MORPH=empty	a
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
manbre	membrer2	VERcjg	MODE=ind|NOMB.=s	manbre
de	de	PRE	MORPH=empty	de
vostre	vostre	DETpos	PERS.=2|NOMB.=p|GENRE=f|CAS=r	vostre
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r	foi
!	!	PONfrt	MORPH=empty	!
"	"	PONfbl	MORPH=empty	"
Et	et	CONcoo	MORPH=empty	Et
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
Grinomalanz	Guiromelant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Grinomalanz
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
areste	arester	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	areste
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
torne	torner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	torne
an	en1	PRE	MORPH=empty	an
travers	travers	NOMcom	NOMB.=s|GENRE=m|CAS=r	travers
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
teste	teste	NOMcom	NOMB.=s|GENRE=f|CAS=r	teste
et	et	CONcoo	MORPH=empty	et
dit	dire	VERcjg	MODE=ind|NOMB.=s	dit
:	:	PONfbl	MORPH=empty	:
"	"	PONfbl	MORPH=empty	"
L'	le	DETdef	NOMB.=s|CAS=r	L
ore	ore3	NOMcom	NOMB.=s|GENRE=f|CAS=n	ore
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	te
vi	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	vi
et	et	CONcoo	MORPH=empty	et
que	que4	CONsub	MORPH=empty	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r	foi
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	te
plevi	plevir	VERppe	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	plevi
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
la	le	ADVgen	NOMB.=s|GENRE=f|CAS=n	la
honie	honir	VERppe	NOMB.=s|GENRE=f|CAS=n	honie
et	et	CONcoo	MORPH=empty	et
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
maudite	maudire	VERppe	NOMB.=s|GENRE=f|CAS=n	maudite
!	!	PONfrt	MORPH=empty	!
Va	aler	VERcjg	MODE=imp|PERS.=2|NOMB.=s	Va
t'	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	t
an	en2	PROadv	MORPH=empty	an
,	,	PONfbl	MORPH=empty	,
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	te
claim	clamer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	claim
ta	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r	ta
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r	foi
quite	quite	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	quite
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
requite	requiter	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	requite
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
moie	mien	PROpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	moie
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	NOMB.=s|CAS=r	que
de	de	PRE	MORPH=empty	de
la	là	ADVgen	GENRE=f|DEGRE=-	la
d'	de	PRE	MORPH=empty	d
outre	outre1	ADVgen	DEGRE=-	outre
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=i	te
cuidoie	cuidier1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s	cuidoie
noveles	novele	NOMcom	NOMB.=p|GENRE=f|CAS=r	noveles
demander	demander	VERinf	MORPH=empty	demander
aucune	aucun	DETind	NOMB.=s|GENRE=f|CAS=r	aucune
.	.	PONfrt	MORPH=empty	.
Mes	mais1	CONcoo	MORPH=empty	Mes
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
sez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	sez
autant	autant	ADVgen	DEGRE=-	autant
de	de	PRE	MORPH=empty	de
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=r	lune
con	come1	CONsub	MORPH=empty	con
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
sez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	sez
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
chastel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r	chastel
,	,	PONfbl	MORPH=empty	,
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
cuit	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	cuit
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
,	,	PONfbl	MORPH=empty	,
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
,	,	PONfbl	MORPH=empty	,
g'	je	PROper	NOMB.=s|GENRE=m|CAS=n	g
i	i2	PROadv	MORPH=empty	i
fuienuit	fuir	VERcjg	PERS.=3|NOMB.=s	fuienuit
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
juiel	Juler	ADJqua	NOMB.=s|GENRE=m|CAS=r	juiel
Lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r	Lit
de	de	PRE	MORPH=empty	de
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
Mervoille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r	Mervoille
,	,	PONfbl	MORPH=empty	,
a	a3	PRE	MORPH=empty	a
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=r	cui
nule	nul	PROind	NOMB.=s|GENRE=f|CAS=r	nule
ne	ne1	ADVneg	MORPH=empty	ne
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
aparoille	apareillier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	aparoille
n'	ne2	CONcoo	MORPH=empty	n
onques	onque	ADVgen	DEGRE=-	onques
nus	nul	PROind	NOMB.=s|GENRE=m|CAS=n	nus
ne	ne1	ADVneg	MORPH=empty	ne
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vit
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
paroil	pareil	NOMcom	NOMB.=s|GENRE=m|CAS=r	paroil
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
,	,	PONfbl	MORPH=empty	,
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
,	,	PONfbl	MORPH=empty	,
mout	mout	ADVgen	DEGRE=-	mout
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
mervoil	merveillier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	mervoil
des	des2	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	des
mervoilles	merveille	NOMcom	NOMB.=p|GENRE=f|CAS=r	mervoilles
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r	que
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
diz	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	diz
.	.	PONfrt	MORPH=empty	.
Or	or4	ADVgen	DEGRE=-	Or
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
solaz	solaz	NOMcom	NOMB.=s|GENRE=m|CAS=n	solaz
et	et	CONcoo	MORPH=empty	et
deliz	delit2	NOMcom	NOMB.=s|GENRE=m|CAS=n	deliz
de	de	PRE	MORPH=empty	de
tes	ton4	DETpos	PERS.=2|NOMB.=p|GENRE=f|CAS=r	tes
mançonges	mençogne	NOMcom	NOMB.=p|GENRE=f|CAS=r	mançonges
escouter	escouter	VERinf	MORPH=empty	escouter
,	,	PONfbl	MORPH=empty	,
qu'	que4	PROrel	MORPH=empty	qu
ausinc	aussi	ADVgen	DEGRE=-	ausinc
orroie	öir	VERcjg	MODE=con|PERS.=1|NOMB.=s	orroie
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
conter	conter	VERinf	MORPH=empty	conter
.	.	PONfrt	MORPH=empty	.
i	i2	PROadv	MORPH=empty	i
.	.	PONfrt	MORPH=empty	.
fableor	fablëor	NOMcom	NOMB.=s|GENRE=m|CAS=r	fableor
con	come1	CONsub	MORPH=empty	con
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
faz	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	faz
toi	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	toi
.	.	PONfrt	MORPH=empty	.
Tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	Tu
es	estre1	PRE.DETdef	TEMPS=pst|PERS.=2|NOMB.=s	es
juglerres	joglëor	NOMcom	NOMB.=s|GENRE=m|CAS=r	juglerres
,	,	PONfbl	MORPH=empty	,
bien	bien1	ADVgen	DEGRE=p	bien
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
.	.	PONfrt	MORPH=empty	.
Mes	mais1	CONcoo	MORPH=empty	Mes
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
cuidoie	cuidier1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s	cuidoie
que	que4	CONsub	MORPH=empty	que
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
fusses	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=s	fusses
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n	chevaliers
et	et	CONcoo	MORPH=empty	et
que	que4	CONsub	MORPH=empty	que
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
eüsses	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=s	eüsses
de	de	PRE	MORPH=empty	de
la	le	ADVgen	NOMB.=s|CAS=r|DEGRE=-	la
fet	faire	NOMcom	NOMB.=s|GENRE=m|CAS=r	fet
aucun	aucun	DETind	NOMB.=s|GENRE=m|CAS=r	aucun
vasselage	vasselage	NOMcom	NOMB.=s|GENRE=m|CAS=r	vasselage
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
neporquant	neporcant	ADVgen	DEGRE=-	neporquant
or	or4	ADVgen	DEGRE=-	or
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
fei	faire	VERcjg	MODE=imp|PERS.=1|NOMB.=s	fei
sage	sage	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	sage
se	se	CONsub	MORPH=empty	se
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r	nule
proesce	pröece	NOMcom	NOMB.=s|GENRE=f|CAS=r	proesce
i	i2	PROadv	MORPH=empty	i
feïs	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s	feïs
et	et	CONcoo	MORPH=empty	et
quel	quel1	DETrel	NOMB.=s|GENRE=f|CAS=r	quel
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r	chose
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
i	i2	PROadv	MORPH=empty	i
veïs	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s	veïs
.	.	PONfrt	MORPH=empty	.
"	"	PONfbl	MORPH=empty	"
Et	et	CONcoo	MORPH=empty	Et
messire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	messire
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
li	il	PROper	NOMB.=s|GENRE=m|CAS=i	li
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	dit
:	:	PONfbl	MORPH=empty	:
"	"	PONfbl	MORPH=empty	"
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
,	,	PONfbl	MORPH=empty	,
quant	cant1	CONsub	MORPH=empty	quant
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
assis	asseoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	assis
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r	lit
,	,	PONfbl	MORPH=empty	,
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
palés	palais2	NOMcom	NOMB.=s|GENRE=m|CAS=r	palés
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
mout	mout	ADVgen	DEGRE=-	mout
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
tormante	tormente	NOMcom	NOMB.=s|GENRE=f|CAS=r	tormante
,	,	PONfbl	MORPH=empty	,
ne	ne1	ADVneg	MORPH=empty	ne
cuidiez	cuidier1	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=p	cuidiez
pas	pas	ADVneg	MORPH=empty	pas
que	que4	CONsub	MORPH=empty	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
mante	mentir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	mante
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n	les
cordes	corde	NOMcom	NOMB.=p|GENRE=f|CAS=r	cordes
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r	lit
crierent	crïer2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	crierent
et	et	CONcoo	MORPH=empty	et
unes	un	DETndf	NOMB.=p|GENRE=f|CAS=n	unes
quanpanes	champaine	NOMcom	NOMB.=p|GENRE=f|CAS=n	quanpanes
sonerent	soner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	sonerent
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=p|GENRE=f|CAS=n	qui
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	as
cordes	corde	NOMcom	NOMB.=p|GENRE=f|CAS=r	cordes
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r	lit
pandoient	pendre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	pandoient
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r	les
fenestres	fenestre	NOMcom	NOMB.=p|GENRE=f|CAS=r	fenestres
qui	qui	PROrel	NOMB.=p|GENRE=f|CAS=n	qui
estoient	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	estoient
closes	clore	VERppe	NOMB.=p|GENRE=f|CAS=n|DEGRE=p	closes
tot	tot	ADVgen	DEGRE=-	tot
par	par	PRE	MORPH=empty	par
eles	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r	eles
ovrirent	ovrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	ovrirent
;	;	PONfbl	MORPH=empty	;
et	et	CONcoo	MORPH=empty	et
an	en1	PRE	MORPH=empty	an
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r	escu
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
ferirent	ferir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	ferirent
quarrel	carrel	NOMcom	NOMB.=p|GENRE=f|CAS=r	quarrel
et	et	CONcoo	MORPH=empty	et
saietes	saiete	NOMcom	NOMB.=p|GENRE=f|CAS=r	saietes
esreses	esrere	VERppe	NOMB.=p|GENRE=f|CAS=r	esreses
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
s'	soi1	ADVgen	NOMB.=p|GENRE=m|CAS=r	s
i	i2	PROadv	MORPH=empty	i
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sont
les	le	DETdef	NOMB.=p|GENRE=m|CAS=n	les
ongles	ongle	NOMcom	NOMB.=p|GENRE=m|CAS=n	ongles
remeses	remanoir	VERppe	NOMB.=p|GENRE=f|CAS=r	remeses
d'	de	PRE	MORPH=empty	d
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
lyon	lïon	NOMcom	NOMB.=s|GENRE=m|CAS=r	lyon
fier	fier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	fier
et	et	CONcoo	MORPH=empty	et
cresté	crester	VERppe	NOMB.=s|GENRE=f|CAS=r	cresté
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
longuemant	longement2	ADVgen	DEGRE=-	longuemant
esté	estre1	VERppe	NOMB.=s|GENRE=m|CAS=n	esté
an	en1	PRE	MORPH=empty	an
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
chanbre	chambre1	NOMcom	NOMB.=s|GENRE=f|CAS=r	chanbre
anchaenez	enchäener	VERppe	NOMB.=s|GENRE=m|CAS=n	anchaenez
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
lyons	lïon	NOMcom	NOMB.=s|GENRE=m|CAS=n	lyons
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
amenez	amener	VERppe	NOMB.=s|GENRE=m|CAS=n	amenez
et	et	CONcoo	MORPH=empty	et
feri	ferir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	feri
si	si	ADVgen	DEGRE=-	si
an	en1	PRE	MORPH=empty	an
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r	escu
qu'	que4	CONsub	MORPH=empty	qu
ax	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	ax
ongles	ongle	NOMcom	NOMB.=p|GENRE=m|CAS=r	ongles
retenuz	retenir	VERppe	NOMB.=p|GENRE=m|CAS=n	retenuz
i	i2	PROadv	MORPH=empty	i
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
et	et	CONcoo	MORPH=empty	et
que	que4	CONsub	MORPH=empty	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
nes	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	nes
an	en2	PROadv	MORPH=empty	an
pot	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	pot
retraire	retraire	VERinf	MORPH=empty	retraire
.	.	PONfrt	MORPH=empty	.
Se	se	CONsub	MORPH=empty	Se
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
cuidiez	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	cuidiez
que	que4	CONsub	MORPH=empty	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
paire	paiier	NOMcom	PERS.=3|NOMB.=s	paire
,	,	PONfbl	MORPH=empty	,
veez	vëoir	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=p	veez
ancor	encore	ADVgen	DEGRE=-	ancor
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
ongles	ongle	NOMcom	NOMB.=p|GENRE=m|CAS=r	ongles
ci	ci	ADVgen	DEGRE=-	ci
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
teste	teste	NOMcom	NOMB.=s|GENRE=f|CAS=r	teste
,	,	PONfbl	MORPH=empty	,
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Deu
merci	merci	NOMcom	TEMPS=pst|NOMB.=s|GENRE=f|CAS=r	merci
,	,	PONfbl	MORPH=empty	,
li	il	PROper	NOMB.=s|GENRE=m|CAS=i	li
tranchié	trenchier1	VERppe	PERS.=3|NOMB.=s|GENRE=m|CAS=n	tranchié
et	et	CONcoo	MORPH=empty	et
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
piez	pié	NOMcom	NOMB.=p|GENRE=m|CAS=r	piez
ansanble	ensemble	ADVgen	DEGRE=-	ansanble
.	.	PONfrt	MORPH=empty	.
De	de	PRE	MORPH=empty	De
ces	ce2	DETdem	NOMB.=p|GENRE=f|CAS=r	ces
anseingnes	enseigne	NOMcom	NOMB.=p|GENRE=f|CAS=r	anseingnes
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r	que
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
sanble	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	sanble
?	?	PONfrt	MORPH=empty	?
"	"	PONfbl	MORPH=empty	"
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
Grinomalanz	Guiromelant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Grinomalanz
a	a3	PRE	MODE=ind|PERS.=3|NOMB.=s	a
ce	ce2	DETdem	NOMB.=s|GENRE=m|CAS=r	ce
mot	mot	NOMcom	NOMB.=s|GENRE=m|CAS=r	mot
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vint
a	a3	PRE	MORPH=empty	a
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
plus	plus	ADVgen	DEGRE=-	plus
tost	tost1	ADVgen	DEGRE=-	tost
qu'	que1	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
pot	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	pot
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
ancline	encliner	VERcjg	MODE=ind|PERS.=3|NOMB.=s|CAS=n	ancline
et	et	CONcoo	MORPH=empty	et
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r	ses
mains	main2	NOMcom	NOMB.=p|GENRE=f|CAS=r	mains
joint	joindre	VERcjg	NOMB.=s|CAS=r	joint
et	et	CONcoo	MORPH=empty	et
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
prie	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	prie
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
pardoint	pardoner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	pardoint
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
folie	folie2	NOMcom	NOMB.=s|GENRE=f|CAS=r	folie
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r	que
